year,door,kilometres
2022,5.0,500
2022,5.0,500
2019,4.0,9000
2022,5.0,10500
2014,5.0,156000
2008,4.0,174000
2016,2.0,66000
2019,5.0,35000
2017,5.0,55394
2013,5.0,162080
2022,5.0,111111
2011,4.0,101000
2015,5.0,83000
2014,5.0,99000
2011,5.0,180000
2018,5.0,80000
2013,5.0,105000
2018,5.0,78000
2017,4.0,170000
2019,5.0,61000
2014,5.0,38000
2013,3.0,180000
2021,4.0,55000
2013,4.0,95000
2013,5.0,186700
2011,5.0,110000
2017,5.0,62000
2010,5.0,125000
2019,5.0,39000
2014,4.0,147000
2016,5.0,64000
2015,4.0,90000
2021,5.0,23000
2015,5.0,83000
2011,3.0,99000
2017,5.0,75000
2015,4.0,57000
2014,5.0,98000
2013,5.0,85000
2022,5.0,510
2015,5.0,44000
2018,5.0,53000
2018,4.0,59698
2018,5.0,60202
2019,4.0,10000
2014,4.0,129681
2019,4.0,18594
2015,5.0,110000
2010,5.0,141000
2013,5.0,96000
2017,5.0,58000
2021,5.0,7400
2020,5.0,38000
2014,5.0,133000
2013,5.0,140000
2017,5.0,46000
2012,5.0,139000
2019,5.0,63000
2018,4.0,59000
2018,4.0,64000
2017,4.0,48000
2019,5.0,48000
2013,5.0,93000
2018,5.0,53000
2019,4.0,40000
2018,4.0,44000
2014,5.0,82000
2018,5.0,60000
2018,5.0,49000
2014,5.0,79000
2019,4.0,59000
2014,5.0,140000
2022,5.0,2000
2016,5.0,48000
2017,5.0,80000
2019,5.0,13000
2016,5.0,86000
2014,5.0,118000
2019,4.0,51700
2009,5.0,133000
2020,5.0,26000
2020,5.0,25000
2018,4.0,55000
2013,5.0,110000
2018,5.0,40000
2021,5.0,19000
2022,4.0,8300
2021,5.0,34000
2018,5.0,57000
2021,4.0,26000
2013,5.0,83000
2015,5.0,65500
2014,4.0,87000
2015,4.0,54500
2018,5.0,79000
2019,4.0,87000
2014,4.0,57000
2015,5.0,92000
2012,5.0,102000
2014,3.0,85000
2017,5.0,52000
2016,5.0,127000
2015,4.0,8900
2017,4.0,54000
2016,5.0,126000
2016,5.0,59000
2018,4.0,70000
2014,5.0,31000
2017,5.0,78000
2016,4.0,129000
2018,4.0,59000
2019,4.0,52000
2018,4.0,59000
2016,4.0,115000
2017,3.0,112000
2017,3.0,112000
2016,5.0,126000
2018,5.0,44000
2016,5.0,87000
2016,4.0,114000
2014,5.0,107000
2016,4.0,128900
2019,5.0,33444
2014,4.0,139000
2017,2.0,11000
2018,4.0,42000
2017,5.0,37000
2009,4.0,160000
2014,5.0,88000
2012,5.0,110000
2018,4.0,63000
2014,3.0,88000
2015,4.0,138468
2011,4.0,153000
2014,3.0,95000
2021,5.0,102000
2019,5.0,33500
2012,3.0,85000
2017,3.0,45000
2017,5.0,39000
2016,5.0,108000
2017,4.0,59000
2018,5.0,79000
2018,4.0,38000
2014,5.0,79000
2017,5.0,68000
2019,4.0,50000
2016,5.0,115000
2018,5.0,69000
2016,5.0,56000
2020,4.0,14000
2015,4.0,169000
2018,4.0,60000
2016,3.0,61000
2014,5.0,118000
2013,5.0,153000
2014,4.0,31000
2019,5.0,38800
2016,4.0,75000
2022,4.0,1000
2014,4.0,63000
2013,3.0,88000
2014,5.0,79000
2017,4.0,45000
2013,5.0,115000
2017,5.0,45000
2016,4.0,172000
2018,5.0,59900
2017,5.0,41000
2015,4.0,91000
2012,3.0,79000
2013,3.0,81262
2016,5.0,60000
2020,5.0,62850
2017,5.0,90000
2021,5.0,48711
2013,3.0,70000
2017,5.0,60000
2016,4.0,74000
2019,4.0,69000
2019,4.0,53000
2019,4.0,60000
2019,5.0,18000
2014,4.0,96000
2019,4.0,86000
2013,4.0,89000
2016,5.0,98000
2018,5.0,59000
2017,5.0,61389
2014,4.0,61389
2016,5.0,39000
2010,5.0,138000
2020,2.0,35000
2013,5.0,110000
2017,5.0,56100
2017,5.0,43000
2017,4.0,118000
2009,5.0,119000
2015,5.0,51834
2011,4.0,167000
2012,3.0,101000
2022,2.0,21000
2018,5.0,62300
2017,5.0,44607
2012,5.0,130000
2012,5.0,112000
2011,5.0,190000
2020,5.0,71000
2022,4.0,18000
2022,5.0,1111
2019,5.0,23000
2017,4.0,79000
2020,5.0,39000
2013,5.0,79000
2017,4.0,59000
2015,5.0,64000
2017,5.0,90000
2018,5.0,57000
2010,3.0,125000
2017,2.0,115000
2018,5.0,46000
2019,5.0,58000
2021,5.0,15000
2017,5.0,60000
2018,4.0,38000
2020,5.0,12000
2017,5.0,39000
2016,5.0,76000
2017,5.0,58000
2015,5.0,89400
2015,5.0,89800
2011,5.0,137000
2016,4.0,181800
2019,5.0,60000
2020,2.0,37000
2013,5.0,79100
2017,4.0,170000
2008,4.0,250000
2020,4.0,30000
2017,5.0,42000
2014,3.0,130000
2015,5.0,51000
2013,5.0,82012
2011,4.0,89000
2018,5.0,109000
2015,5.0,86000
2018,4.0,79000
2013,5.0,82000
2017,5.0,84000
2019,4.0,62000
2014,4.0,61000
2012,4.0,196000
2017,4.0,49000
2020,5.0,39000
2016,4.0,69000
2022,5.0,2000
2012,5.0,79000
2020,4.0,57700
2011,5.0,137000
2015,5.0,79000
2014,3.0,69000
2021,5.0,23000
2016,5.0,60000
2011,5.0,204000
2019,4.0,64000
2017,5.0,62000
2010,5.0,98000
2017,4.0,69000
2016,3.0,46000
2011,5.0,89000
2016,5.0,161000
2022,5.0,500
2011,5.0,140000
2013,5.0,130000
2011,4.0,99100
2017,5.0,77000
2015,5.0,65000
2017,5.0,44000
2019,4.0,88000
2012,4.0,95000
2020,5.0,45800
2017,5.0,112000
2013,5.0,79000
2019,4.0,51600
2019,4.0,49000
2021,5.0,48700
2019,2.0,86000
2017,5.0,96400
2017,5.0,26000
2014,5.0,119000
2014,5.0,74000
2018,5.0,55000
2017,5.0,41000
2019,5.0,59000
2018,5.0,55000
2021,4.0,61000
2016,4.0,152000
2021,4.0,29200
2020,5.0,62400
2018,5.0,52000
2009,4.0,105000
2017,5.0,60000
2019,5.0,38000
2016,3.0,25000
2022,4.0,8000
2020,5.0,40000
2021,2.0,2500
2018,4.0,44000
2016,5.0,41100
2009,2.0,79700
2018,4.0,48000
2018,4.0,50000
2015,4.0,98000
2013,4.0,64000
2018,2.0,242000
2013,4.0,45000
2016,5.0,89100
2017,5.0,85400
2021,5.0,10900
2007,2.0,178000
2016,5.0,96133
2016,4.0,76916
2017,4.0,108933
2017,5.0,71239
2016,4.0,98700
2018,5.0,37000
2021,3.0,23000
2009,5.0,190000
2017,5.0,44500
2021,4.0,28000
2022,5.0,1011
2020,5.0,22000
2019,5.0,55000
2018,4.0,46000
2018,5.0,60000
2008,5.0,121000
2022,4.0,4700
2018,5.0,61000
2019,5.0,58000
2018,5.0,62000
2015,4.0,115000
1997,2.0,335000
2019,5.0,28000
2017,5.0,90000
2020,5.0,6000
2022,4.0,1111
2022,5.0,1000
2012,5.0,122000
2022,4.0,500
2019,5.0,60900
2019,5.0,73000
2020,4.0,86000
2015,5.0,71000
2011,4.0,39000
2016,5.0,126000
2014,4.0,125000
2017,4.0,83000
2015,4.0,126000
2013,5.0,102000
2011,4.0,168200
2017,5.0,45100
2022,4.0,1111
2022,4.0,4700
2017,5.0,75000
2012,5.0,136000
2019,5.0,29530
2018,5.0,28300
2018,5.0,99700
2019,5.0,69100
2019,5.0,30000
2018,4.0,99100
2017,5.0,59000
2016,4.0,143000
2018,4.0,79000
2011,5.0,137000
2021,2.0,4100
2017,5.0,12000
2017,4.0,65000
2019,4.0,31000
2020,4.0,52900
2021,2.0,2500
